date,Volume,dateYear,dateMonth,dateDay,dateDayOfYear,dateWeekOfMonth,dateQuarter,dateIsWeekend,dateIsHolidayInd,dateWeekDayStartsMonday,dateWeekOfYearStartsMonday,firstDayNoSaturdayNoHolidayOrSundayHolidayIsHoliday,isThuHolyday,isFriHolyday,isSatHolyday,isWeekendParcelServiceBreakInd,firstDayWorkBefore_year,firstDayWorkBefore_month,firstDayWorkBefore_day,firstDayWorkAfter_year,firstDayWorkAfter_month,firstDayWorkAfter_day,firstDayNoHolidayNoSaturdayAfter_year,firstDayNoHolidayNoSaturdayAfter_month,firstDayNoHolidayNoSaturdayAfter_day,firstDayNoHolidayNoSundayAfter_year,firstDayNoHolidayNoSundayAfter_month,firstDayNoHolidayNoSundayAfter_day,firstDayNoSaturdayNoHolidayOrSundayHoliday_year,firstDayNoSaturdayNoHolidayOrSundayHoliday_month,firstDayNoSaturdayNoHolidayOrSundayHoliday_day,courierBillingPeriodStartDateFk_year,courierBillingPeriodStartDateFk_month,courierBillingPeriodStartDateFk_day,courierBillingPeriodEndDateFk_year,courierBillingPeriodEndDateFk_month,courierBillingPeriodEndDateFk_day,Orders,forecast_available,temp_max,temp_min,temp_avg,total_rainfall,snow_cover
2021-01-01,11366,2021,1,1,1,1,1,0,1,5,1,0,1,1,0,0,2020,12,30,2021,1,4,2021,1,3,2021,1,2,2021,1,3,2021,1,1,2021,1,15,0,0,0.9,-1.2,-0.35,0.0,0
2021-01-02,106466,2021,1,2,2,1,1,1,0,6,1,0,1,1,0,1,2020,12,30,2021,1,4,2021,1,3,2021,1,4,2021,1,3,2021,1,1,2021,1,15,0,0,4.4,-1.6,0.55,0.0,0
2021-01-03,298551,2021,1,3,3,2,1,1,0,7,1,0,0,0,0,0,2020,12,30,2021,1,4,2021,1,4,2021,1,4,2021,1,4,2021,1,1,2021,1,15,0,0,4.0,-0.9,1.15,0.0,0
2021-01-04,167549,2021,1,4,4,2,1,0,0,1,2,0,0,0,0,0,2020,12,30,2021,1,5,2021,1,5,2021,1,5,2021,1,5,2021,1,1,2021,1,15,0,0,4.9,-0.7,1.9500000000000002,7.1,0
2021-01-05,237147,2021,1,5,5,2,1,0,0,2,2,0,0,0,0,0,2021,1,4,2021,1,7,2021,1,7,2021,1,7,2021,1,7,2021,1,1,2021,1,15,0,0,4.0,1.4,2.65,4.3,0
2021-01-06,25327,2021,1,6,6,2,1,0,1,3,2,0,0,0,0,0,2021,1,5,2021,1,7,2021,1,7,2021,1,7,2021,1,7,2021,1,1,2021,1,15,0,0,3.7,-0.4,1.3,1.9,0
2021-01-07,467518,2021,1,7,7,2,1,0,0,4,2,0,0,0,0,0,2021,1,5,2021,1,8,2021,1,8,2021,1,8,2021,1,8,2021,1,1,2021,1,15,0,0,2.4,0.5,1.25,0.3,0
2021-01-08,269032,2021,1,8,8,2,1,0,0,5,2,0,0,0,0,0,2021,1,7,2021,1,11,2021,1,10,2021,1,9,2021,1,10,2021,1,1,2021,1,15,0,0,3.6,-1.3,0.44999999999999996,0.0,0
2021-01-09,81080,2021,1,9,9,2,1,1,0,6,2,0,0,0,0,0,2021,1,8,2021,1,11,2021,1,10,2021,1,11,2021,1,10,2021,1,1,2021,1,15,0,0,2.8,-1.6,0.0,0.0,0
2021-01-10,251120,2021,1,10,10,3,1,1,0,7,2,0,0,0,0,0,2021,1,8,2021,1,11,2021,1,11,2021,1,11,2021,1,11,2021,1,1,2021,1,15,0,0,2.9,-2.7,-0.35000000000000003,0.0,0
