num_layers,hidden_size,num_epochs,lr,dropout,RMSE_val,RMSE_train
1.0,200.0,200.0,0.0001,0.0,9683.87,7147.17
1.0,200.0,200.0,0.0001,0.3,21974.83,13778.53
1.0,200.0,200.0,0.0001,0.5,21596.74,18574.17
1.0,200.0,200.0,0.0005,0.0,4339.11,3949.72
1.0,200.0,200.0,0.0005,0.3,13363.75,11042.38
1.0,200.0,200.0,0.0005,0.5,13654.11,10535.38
1.0,200.0,200.0,0.001,0.0,7595.83,5437.96
1.0,200.0,200.0,0.001,0.3,17525.55,17196.2
1.0,200.0,200.0,0.001,0.5,12246.11,18455.69
1.0,200.0,300.0,0.0001,0.0,5408.88,4074.3
1.0,200.0,300.0,0.0001,0.3,20123.88,11528.53
1.0,200.0,300.0,0.0001,0.5,19144.65,13915.42
1.0,200.0,300.0,0.0005,0.0,5491.99,5592.2
1.0,200.0,300.0,0.0005,0.3,9322.77,7203.73
1.0,200.0,300.0,0.0005,0.5,15441.41,11840.98
1.0,200.0,300.0,0.001,0.0,4265.06,6027.73
1.0,200.0,300.0,0.001,0.3,14039.39,9900.72
1.0,200.0,300.0,0.001,0.5,15534.44,16126.24
1.0,200.0,400.0,0.0001,0.0,4507.57,6425.99
1.0,200.0,400.0,0.0001,0.3,7674.31,8083.12
1.0,200.0,400.0,0.0001,0.5,19973.19,16673.29
1.0,200.0,400.0,0.0005,0.0,4041.62,4616.01
1.0,200.0,400.0,0.0005,0.3,9696.81,10056.53
1.0,200.0,400.0,0.0005,0.5,15989.28,13606.56
1.0,200.0,400.0,0.001,0.0,3344.91,2932.04
1.0,200.0,400.0,0.001,0.3,19745.05,17787.73
1.0,200.0,400.0,0.001,0.5,22849.11,18507.75
1.0,300.0,200.0,0.0001,0.0,7843.8,5351.69
1.0,300.0,200.0,0.0001,0.3,11182.47,10522.43
1.0,300.0,200.0,0.0001,0.5,14582.24,14856.2
1.0,300.0,200.0,0.0005,0.0,4337.56,3302.59
1.0,300.0,200.0,0.0005,0.3,17618.74,14200.68
1.0,300.0,200.0,0.0005,0.5,15670.26,12955.74
1.0,300.0,200.0,0.001,0.0,6334.28,4233.15
1.0,300.0,200.0,0.001,0.3,11507.41,13646.03
1.0,300.0,200.0,0.001,0.5,21636.13,17375.94
1.0,300.0,300.0,0.0001,0.0,4459.37,3332.58
1.0,300.0,300.0,0.0001,0.3,15809.91,10416.59
1.0,300.0,300.0,0.0001,0.5,16705.9,11507.29
1.0,300.0,300.0,0.0005,0.0,5159.84,4115.49
1.0,300.0,300.0,0.0005,0.3,15692.03,11143.0
1.0,300.0,300.0,0.0005,0.5,19836.07,16028.75
1.0,300.0,300.0,0.001,0.0,6538.7,5778.18
1.0,300.0,300.0,0.001,0.3,18290.05,12110.82
1.0,300.0,300.0,0.001,0.5,20211.37,14425.98
1.0,300.0,400.0,0.0001,0.0,3782.48,2932.04
1.0,300.0,400.0,0.0001,0.3,9696.65,11630.03
1.0,300.0,400.0,0.0001,0.5,11155.65,10135.63
1.0,300.0,400.0,0.0005,0.0,2304.93,2466.35
1.0,300.0,400.0,0.0005,0.3,17590.12,18289.27
1.0,300.0,400.0,0.0005,0.5,18198.2,11192.67
1.0,300.0,400.0,0.001,0.0,3151.78,3571.57
1.0,300.0,400.0,0.001,0.3,15454.06,15576.23
1.0,300.0,400.0,0.001,0.5,14229.45,9331.21
2.0,200.0,200.0,0.0001,0.0,10056.44,6768.92
2.0,200.0,200.0,0.0001,0.3,20185.05,16084.75
2.0,200.0,200.0,0.0001,0.5,31518.34,22849.98
2.0,200.0,200.0,0.0005,0.0,8325.1,4871.41
